NAME,state,county,tract,mhi,mhi_moe,aggregate_income,aggregate_income_moe,lq_mean_income,lq_mean_income_moe,lq_upper_limit,lq_upper_limit_moe,mhi_owner,mhi_owner_moe,mhi_renter,mhi_renter_moe,population,population_moe,households,households_moe,avg_household_size,avg_household_size_moe,poverty_count,poverty_count_moe,poverty_universe,poverty_universe_moe,geoid,geo_level,acs_year,poverty_rate,mean_income,income_skew
Census Tract 168.13; San Diego County; California,06,073,016813,102813.0,20781.0,156459900.0,24411707.0,24192.0,4959.0,34074.0,11912.0,111786.0,26123.0,63542.0,1602.0,3287,273,1150,68,2.86,0.22,315,289,3287,273,06073016813,tract,2023,0.09583206571341649,136052.08695652173,1.3232965379526103
Census Tract 169.01; San Diego County; California,06,073,016901,119669.0,34217.0,384608900.0,92078048.0,25965.0,11541.0,46057.0,16700.0,146019.0,27978.0,44152.0,21127.0,7227,1359,2377,280,3.04,0.33,297,192,7181,1369,06073016901,tract,2023,0.04135914218075477,161804.33319310055,1.3520989829705317
Census Tract 169.02; San Diego County; California,06,073,016902,116250.0,15179.0,107412900.0,26214791.0,30008.0,9901.0,53605.0,13822.0,120170.0,11908.0,,,2395,307,762,88,3.08,0.29,229,63,2375,308,06073016902,tract,2023,0.09642105263157895,140961.81102362205,1.2125747184827704
Census Tract 170.06; San Diego County; California,06,073,017006,170500.0,57134.0,231903900.0,39471338.0,32143.0,12333.0,50700.0,44009.0,183162.0,57301.0,47589.0,46664.0,3214,545,1074,171,2.97,0.37,216,138,3214,545,06073017006,tract,2023,0.0672059738643435,215925.4189944134,1.2664247448352692
Census Tract 170.09; San Diego County; California,06,073,017009,98403.0,25882.0,182079500.0,24222982.0,35009.0,8284.0,53970.0,11145.0,121401.0,24774.0,80769.0,10621.0,4071,427,1517,157,2.68,0.16,64,46,4063,427,06073017009,tract,2023,0.015751907457543686,120026.03823335531,1.219739624130924
Census Tract 170.10; San Diego County; California,06,073,017010,201875.0,23834.0,197116500.0,28729841.0,53043.0,14389.0,94232.0,12663.0,203315.0,18212.0,140114.0,104977.0,3057,343,962,89,3.13,0.24,87,101,3057,343,06073017010,tract,2023,0.02845927379784102,204902.80665280664,1.0149984230479585
Census Tract 170.14; San Diego County; California,06,073,017014,82549.0,14643.0,184195000.0,65649213.0,23532.0,7363.0,43728.0,4525.0,77054.0,10605.0,93950.0,56690.0,2612,372,1574,236,1.52,0.07,221,130,2537,372,06073017014,tract,2023,0.08711076074103272,117023.50698856417,1.4176247681808887
Census Tract 170.18; San Diego County; California,06,073,017018,99048.0,21902.0,205615200.0,31816583.0,25135.0,8081.0,43867.0,18839.0,121413.0,11492.0,59881.0,21430.0,4273,700,1786,222,2.33,0.22,287,164,4200,700,06073017018,tract,2023,0.06833333333333333,115126.09182530794,1.1623262642891117
Census Tract 170.20; San Diego County; California,06,073,017020,175114.0,41420.0,355423600.0,59708852.0,44109.0,16108.0,70700.0,32183.0,195707.0,43031.0,98864.0,47199.0,4097,424,1519,206,2.69,0.24,216,264,4087,423,06073017020,tract,2023,0.05285050159040861,233985.2534562212,1.336188160034156
Census Tract 170.21; San Diego County; California,06,073,017021,201450.0,26381.0,289532800.0,79796881.0,60008.0,23104.0,112566.0,47321.0,206250.0,42204.0,65846.0,20418.0,3228,855,1086,183,2.96,0.54,233,271,3149,753,06073017021,tract,2023,0.07399174341060655,266604.788213628,1.323429080236426
